name;LEFT;MIDDLE;RIGHT;pseudo register
TDC_CTRL.CMD_MEAS_EN_0.CHAN9;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_0.CHAN10;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_0.CHAN11;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_0.CHAN12;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_0.CHAN13;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_0.CHAN14;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_0.CHAN15;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_1.CHAN16;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_1.CHAN17;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_1.CHAN18;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_1.CHAN19;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_1.CHAN20;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_1.CHAN21;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_1.CHAN22;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_1.CHAN23;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_1.CHAN24;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_1.CHAN25;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_1.CHAN26;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_1.CHAN27;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_1.CHAN28;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_1.CHAN29;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_1.CHAN30;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_1.CHAN31;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_2.CHAN32;1;1;1;False
TDC_CTRL.CMD_MEAS_EN_2.CHAN33;1;1;1;False
TDC_CTRL.INJECTION_BC0_TIMING_OFFSET;0;0;0;False
TDC_CTRL.BC0_CTRL.TIMING_OFFSET_EN;1;1;1;False
TDC_CTRL.BC0_CTRL.DISCARD_BC0_TS;0;0;0;False
TDC_CTRL.INJECTION_MODE;0;0;0;False
DATA_PATH_CTRL.FPGA_MIDDLE_DELAY.STEP_120MHz;;0x15;;False
DATA_PATH_CTRL.MAX_QUEUE_SIZE.NB_FRAMES;;0x25;;False
DATA_PATH_CTRL.STRIP_CLUSTERING_EN;;0;;False
DATA_PATH_CTRL.DISCARD_SINGLE_CHAN_DATA.FPGA_LEFT;;0;;False
DATA_PATH_CTRL.DISCARD_SINGLE_CHAN_DATA.FPGA_MIDDLE;;0;;False
DATA_PATH_CTRL.DISCARD_SINGLE_CHAN_DATA.FPGA_RIGHT;;0;;False
DATA_PATH_CTRL.MAX_READOUT_TIME_DRIFT.STEP_120MHz;;0x28;;False
DATA_PATH_CTRL.TDC_CHAN_DEAD_TIME.STEP_120MHz;;0;;False
DATA_PATH_CTRL.PAIR_FILTERING_EN.STRIP0;0;0;0;False
DATA_PATH_CTRL.PAIR_FILTERING_EN.STRIP1;0;0;0;False
DATA_PATH_CTRL.PAIR_FILTERING_EN.STRIP2;0;0;0;False
DATA_PATH_CTRL.PAIR_FILTERING_EN.STRIP3;0;0;0;False
DATA_PATH_CTRL.PAIR_FILTERING_EN.STRIP4;0;0;0;False
DATA_PATH_CTRL.PAIR_FILTERING_EN.STRIP5;0;0;0;False
DATA_PATH_CTRL.PAIR_FILTERING_EN.STRIP6;0;0;0;False
DATA_PATH_CTRL.PAIR_FILTERING_EN.STRIP7;0;0;0;False
DATA_PATH_CTRL.PAIR_FILTERING_EN.STRIP8;0;0;0;False
DATA_PATH_CTRL.PAIR_FILTERING_EN.STRIP9;0;0;0;False
DATA_PATH_CTRL.PAIR_FILTERING_EN.STRIP10;0;0;0;False
DATA_PATH_CTRL.PAIR_FILTERING_EN.STRIP11;0;0;0;False
DATA_PATH_CTRL.PAIR_FILTERING_EN.STRIP12;0;0;0;False
DATA_PATH_CTRL.PAIR_FILTERING_EN.STRIP13;0;0;0;False
DATA_PATH_CTRL.PAIR_FILTERING_EN.STRIP14;0;0;0;False
DATA_PATH_CTRL.PAIR_FILTERING_EN.STRIP15;0;0;0;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MIN_STRIP0;0;0;0;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MIN_STRIP1;0;0;0;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MIN_STRIP2;0;0;0;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MIN_STRIP3;0;0;0;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MIN_STRIP4;0;0;0;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MIN_STRIP5;0;0;0;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MIN_STRIP6;0;0;0;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MIN_STRIP7;0;0;0;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MIN_STRIP8;0;0;0;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MIN_STRIP9;0;0;0;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MIN_STRIP10;0;0;0;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MIN_STRIP11;0;0;0;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MIN_STRIP12;0;0;0;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MIN_STRIP13;0;0;0;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MIN_STRIP14;0;0;0;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MIN_STRIP15;0;0;0;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MAX_STRIP0;0xffff;0xffff;0xffff;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MAX_STRIP1;0xffff;0xffff;0xffff;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MAX_STRIP2;0xffff;0xffff;0xffff;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MAX_STRIP3;0xffff;0xffff;0xffff;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MAX_STRIP4;0xffff;0xffff;0xffff;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MAX_STRIP5;0xffff;0xffff;0xffff;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MAX_STRIP6;0xffff;0xffff;0xffff;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MAX_STRIP7;0xffff;0xffff;0xffff;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MAX_STRIP8;0xffff;0xffff;0xffff;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MAX_STRIP9;0xffff;0xffff;0xffff;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MAX_STRIP10;0xffff;0xffff;0xffff;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MAX_STRIP11;0xffff;0xffff;0xffff;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MAX_STRIP12;0xffff;0xffff;0xffff;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MAX_STRIP13;0xffff;0xffff;0xffff;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MAX_STRIP14;0xffff;0xffff;0xffff;False
DATA_PATH_CTRL.PAIR_TS_DIFF_MAX_STRIP15;0xffff;0xffff;0xffff;False
PETIROC_TOP_CTRL.SLOW_CTRL_PINS.DIGITAL_STAGE_OFF;;;;False
PETIROC_TOP_CTRL.SLOW_CTRL_PINS.ANALOG_STAGE_OFF;;;;False
PETIROC_TOP_CTRL.SLOW_CTRL_PINS.ADC_STAGE_OFF;;;;False
PETIROC_TOP_CTRL.SLOW_CTRL_PINS.DAC_STAGE_OFF;;;;False
PETIROC_TOP_CTRL.SLOW_CTRL_PINS.RESET_N ;1;1;1;False
PETIROC_TOP_CTRL.AUTO_RECONF_PERIOD;;;;True
PETIROC_BOT_CTRL.SLOW_CTRL_PINS.DIGITAL_STAGE_OFF;;;;False
PETIROC_BOT_CTRL.SLOW_CTRL_PINS.ANALOG_STAGE_OFF;;;;False
PETIROC_BOT_CTRL.SLOW_CTRL_PINS.ADC_STAGE_OFF;;;;False
PETIROC_BOT_CTRL.SLOW_CTRL_PINS.DAC_STAGE_OFF;;;;False
PETIROC_BOT_CTRL.SLOW_CTRL_PINS.RESET_N ;1;1;1;False
PETIROC_BOT_CTRL.AUTO_RECONF_PERIOD;;;;True

